Project ID,Month,Vendor,Material Cost ($),Labor Cost ($),Last Updated
PRJ1004,2024-03-01,Vendor A,6301.94,25838.46,2024-07-01
PRJ1004,2024-04-01,Vendor B,22144.43,25913.45,2024-07-01
PRJ1004,2024-05-01,Vendor B,14770.53,28284.61,2024-07-01
PRJ1004,2024-06-01,Vendor A,11590.4,18365.69,2024-07-01
PRJ1004,2024-07-01,Vendor B,8918.03,19077.0,2024-07-01
PRJ1004,2024-08-01,Vendor A,17737.89,17433.78,2024-07-01
PRJ1004,2024-09-01,Vendor B,16223.72,29008.01,2024-07-01
PRJ1004,2024-10-01,Vendor A,11133.59,11886.84,2024-07-01
PRJ1004,2024-11-01,Vendor D,22676.54,25667.34,2024-07-01
PRJ1004,2024-12-01,Vendor A,9952.29,15019.25,2024-07-01
PRJ1005,2024-01-01,Vendor D,24801.55,28901.48,2024-07-01
PRJ1005,2024-02-01,Vendor C,18554.69,29582.71,2024-07-01
PRJ1005,2024-03-01,Vendor B,11553.5,25403.78,2024-07-01
PRJ1005,2024-04-01,Vendor D,18386.23,28504.64,2024-07-01
PRJ1005,2024-05-01,Vendor A,9339.15,21659.76,2024-07-01
PRJ1005,2024-06-01,Vendor A,23770.77,14189.76,2024-07-01
PRJ1005,2024-07-01,Vendor A,14999.46,28335.1,2024-07-01
PRJ1005,2024-08-01,Vendor B,20000.49,20598.14,2024-07-01
PRJ1005,2024-09-01,Vendor C,24570.42,17940.35,2024-07-01
PRJ1005,2024-10-01,Vendor C,8348.81,8330.42,2024-07-01
PRJ1005,2024-11-01,Vendor B,11361.14,26010.2,2024-07-01
PRJ1005,2024-12-01,Vendor C,16932.43,13326.19,2024-07-01
PRJ1006,2024-01-01,Vendor A,7957.4,28454.5,2024-07-01
PRJ1006,2024-02-01,Vendor B,8587.63,9547.86,2024-07-01
PRJ1006,2024-03-01,Vendor A,23975.16,18633.54,2024-07-01
PRJ1006,2024-04-01,Vendor D,23132.1,10415.29,2024-07-01
PRJ1006,2024-05-01,Vendor B,20331.68,21254.42,2024-07-01
PRJ1006,2024-06-01,Vendor D,13605.69,16679.45,2024-07-01
PRJ1006,2024-07-01,Vendor B,17744.6,13586.79,2024-07-01
PRJ1006,2024-08-01,Vendor D,12044.39,21413.81,2024-07-01
PRJ1006,2024-09-01,Vendor A,6224.27,13783.35,2024-07-01
PRJ1006,2024-10-01,Vendor D,9217.17,21506.43,2024-07-01
PRJ1006,2024-11-01,Vendor A,18762.28,24324.25,2024-07-01
PRJ1006,2024-12-01,Vendor C,15692.02,25680.35,2024-07-01
PRJ1007,2024-01-01,Vendor C,15635.41,27051.38,2024-07-01
PRJ1007,2024-02-01,Vendor D,22602.12,17265.55,2024-07-01
PRJ1007,2024-03-01,Vendor D,23403.23,9962.38,2024-07-01
PRJ1007,2024-04-01,Vendor B,17947.85,16654.88,2024-07-01
PRJ1007,2024-05-01,Vendor C,22009.98,27778.91,2024-07-01
PRJ1007,2024-06-01,Vendor D,9729.72,22090.69,2024-07-01
PRJ1007,2024-07-01,Vendor D,6543.69,13916.54,2024-07-01
PRJ1007,2024-08-01,Vendor B,6391.12,22318.02,2024-07-01
PRJ1007,2024-09-01,Vendor A,14215.04,16059.79,2024-07-01
PRJ1007,2024-10-01,Vendor A,24363.28,9130.84,2024-07-01
PRJ1007,2024-11-01,Vendor B,7529.71,17772.92,2024-07-01
PRJ1007,2024-12-01,Vendor C,10664.49,16041.85,2024-07-01
PRJ1008,2024-01-01,Vendor A,19118.02,21636.33,2024-07-01
PRJ1008,2024-02-01,Vendor D,23981.6,23230.31,2024-07-01
PRJ1008,2024-03-01,Vendor B,9736.27,14453.94,2024-07-01
PRJ1008,2024-04-01,Vendor A,5673.49,18388.47,2024-07-01
PRJ1008,2024-05-01,Vendor D,14331.1,19514.66,2024-07-01
PRJ1008,2024-06-01,Vendor A,20469.8,12296.02,2024-07-01
PRJ1008,2024-07-01,Vendor A,24550.56,19505.26,2024-07-01
PRJ1008,2024-08-01,Vendor C,21805.72,15349.9,2024-07-01
PRJ1008,2024-09-01,Vendor C,11032.83,12870.93,2024-07-01
PRJ1008,2024-10-01,Vendor A,6801.08,19362.75,2024-07-01
PRJ1008,2024-11-01,Vendor D,9496.28,22086.68,2024-07-01
PRJ1008,2024-12-01,Vendor C,13044.85,25450.17,2024-07-01
PRJ1009,2024-01-01,Vendor D,5241.99,20090.35,2024-07-01
PRJ1009,2024-02-01,Vendor D,24699.45,27466.15,2024-07-01
PRJ1009,2024-03-01,Vendor D,7301.93,23260.37,2024-07-01
PRJ1009,2024-04-01,Vendor B,11329.04,8274.1,2024-07-01
PRJ1009,2024-05-01,Vendor D,7772.33,13926.36,2024-07-01
PRJ1009,2024-06-01,Vendor A,18329.84,27116.79,2024-07-01
PRJ1009,2024-07-01,Vendor A,19655.75,26461.31,2024-07-01
PRJ1009,2024-08-01,Vendor C,22577.91,19976.41,2024-07-01
PRJ1009,2024-09-01,Vendor C,20909.41,21897.23,2024-07-01
PRJ1009,2024-10-01,Vendor C,14899.97,23241.21,2024-07-01
PRJ1009,2024-11-01,Vendor A,13160.57,8318.21,2024-07-01
PRJ1009,2024-12-01,Vendor B,10100.77,28447.17,2024-07-01
PRJ1010,2024-01-01,Vendor B,6170.42,13937.9,2024-07-01
PRJ1010,2024-02-01,Vendor B,15027.98,12377.35,2024-07-01
PRJ1010,2024-03-01,Vendor C,17822.65,9289.5,2024-07-01
PRJ1010,2024-04-01,Vendor D,15998.62,23951.98,2024-07-01
PRJ1010,2024-05-01,Vendor C,8299.68,21058.08,2024-07-01
PRJ1010,2024-06-01,Vendor A,6132.99,22084.04,2024-07-01
PRJ1010,2024-07-01,Vendor C,21263.83,13862.25,2024-07-01
PRJ1010,2024-08-01,Vendor D,10762.89,20327.96,2024-07-01
PRJ1010,2024-09-01,Vendor A,21537.59,18835.07,2024-07-01
PRJ1010,2024-10-01,Vendor D,14151.4,29801.95,2024-07-01
PRJ1010,2024-11-01,Vendor C,16057.34,24608.4,2024-07-01
PRJ1010,2024-12-01,Vendor C,15836.25,19162.55,2024-07-01
PRJ1011,2024-01-01,Vendor A,23157.49,28794.95,2024-07-01
PRJ1011,2024-02-01,Vendor B,17216.41,17154.97,2024-07-01
PRJ1011,2024-03-01,Vendor A,22509.51,27572.68,2024-07-01
PRJ1011,2024-04-01,Vendor B,22156.92,17457.22,2024-07-01
PRJ1011,2024-05-01,Vendor B,22940.65,8197.94,2024-07-01
PRJ1011,2024-06-01,Vendor A,9677.58,20597.86,2024-07-01
PRJ1011,2024-07-01,Vendor C,6637.92,24530.26,2024-07-01
PRJ1011,2024-08-01,Vendor B,21478.43,22490.49,2024-07-01
PRJ1011,2024-09-01,Vendor D,13641.68,13083.23,2024-07-01
PRJ1011,2024-10-01,Vendor D,6409.02,24094.18,2024-07-01
PRJ1011,2024-11-01,Vendor C,22506.1,22001.43,2024-07-01
PRJ1011,2024-12-01,Vendor C,16349.95,9263.22,2024-07-01
PRJ1012,2024-01-01,Vendor D,15335.4,14695.5,2024-07-01
PRJ1012,2024-02-01,Vendor B,24385.02,21675.77,2024-07-01
PRJ1012,2024-03-01,Vendor C,13619.89,14517.9,2024-07-01
PRJ1012,2024-04-01,Vendor C,5432.75,29058.74,2024-07-01
PRJ1012,2024-05-01,Vendor B,6072.5,20494.61,2024-07-01
PRJ1012,2024-06-01,Vendor C,15469.09,14617.5,2024-07-01
PRJ1012,2024-07-01,Vendor B,22167.46,18680.06,2024-07-01
PRJ1012,2024-08-01,Vendor C,6299.58,12991.58,2024-07-01
PRJ1012,2024-09-01,Vendor C,16172.22,11468.14,2024-07-01
PRJ1012,2024-10-01,Vendor C,23330.63,23318.93,2024-07-01
PRJ1012,2024-11-01,Vendor A,15741.91,24526.1,2024-07-01
PRJ1012,2024-12-01,Vendor B,14087.18,16298.45,2024-07-01
PRJ1013,2024-01-01,Vendor D,6831.25,13222.82,2024-07-01
PRJ1013,2024-02-01,Vendor C,17605.74,15373.34,2024-07-01
PRJ1013,2024-03-01,Vendor D,12271.24,16630.98,2024-07-01
PRJ1013,2024-04-01,Vendor D,6021.56,18231.87,2024-07-01
PRJ1013,2024-05-01,Vendor C,22028.08,29280.77,2024-07-01
PRJ1013,2024-06-01,Vendor B,8990.48,8593.51,2024-07-01
PRJ1013,2024-07-01,Vendor D,23536.38,16511.43,2024-07-01
PRJ1013,2024-08-01,Vendor D,7786.86,13502.82,2024-07-01
PRJ1013,2024-09-01,Vendor C,16669.43,20052.11,2024-07-01
PRJ1013,2024-10-01,Vendor D,17925.84,10171.61,2024-07-01
PRJ1013,2024-11-01,Vendor B,7329.28,13132.65,2024-07-01
PRJ1013,2024-12-01,Vendor C,14162.1,13117.29,2024-07-01
PRJ1014,2024-01-01,Vendor D,21982.99,27573.14,2024-07-01
PRJ1014,2024-02-01,Vendor C,8478.16,27713.97,2024-07-01
PRJ1014,2024-03-01,Vendor A,6648.25,27657.18,2024-07-01
PRJ1014,2024-04-01,Vendor C,14299.69,16860.29,2024-07-01
PRJ1014,2024-05-01,Vendor D,20377.54,9489.06,2024-07-01
PRJ1014,2024-06-01,Vendor A,17533.83,13599.63,2024-07-01
PRJ1014,2024-07-01,Vendor C,16822.01,27208.42,2024-07-01
PRJ1014,2024-08-01,Vendor B,9511.71,17488.78,2024-07-01
PRJ1014,2024-09-01,Vendor C,18058.19,29674.2,2024-07-01
PRJ1014,2024-10-01,Vendor B,11870.87,23600.76,2024-07-01
PRJ1014,2024-11-01,Vendor B,12471.95,27142.43,2024-07-01
PRJ1014,2024-12-01,Vendor C,13733.54,16903.36,2024-07-01
PRJ1015,2024-01-01,Vendor C,9722.67,8674.11,2024-07-01
PRJ1015,2024-02-01,Vendor C,14005.94,12901.07,2024-07-01
PRJ1015,2024-03-01,Vendor B,12638.43,8880.61,2024-07-01
PRJ1015,2024-04-01,Vendor A,12877.28,11454.4,2024-07-01
PRJ1015,2024-05-01,Vendor C,23521.67,25482.54,2024-07-01
PRJ1015,2024-06-01,Vendor C,12518.51,16598.37,2024-07-01
PRJ1015,2024-07-01,Vendor D,18779.5,13463.15,2024-07-01
PRJ1015,2024-08-01,Vendor B,7525.69,10329.86,2024-07-01
PRJ1015,2024-09-01,Vendor A,20088.39,29860.1,2024-07-01
PRJ1015,2024-10-01,Vendor A,6242.0,16414.3,2024-07-01
PRJ1015,2024-11-01,Vendor C,18509.15,8586.7,2024-07-01
PRJ1015,2024-12-01,Vendor A,22790.88,8836.63,2024-07-01
PRJ1016,2024-01-01,Vendor C,18743.42,16464.48,2024-07-01
PRJ1016,2024-02-01,Vendor C,13558.34,28708.95,2024-07-01
PRJ1016,2024-03-01,Vendor D,8235.24,15350.97,2024-07-01
PRJ1016,2024-04-01,Vendor D,12504.47,29227.33,2024-07-01
PRJ1016,2024-05-01,Vendor A,19484.78,15521.4,2024-07-01
PRJ1016,2024-06-01,Vendor A,8133.57,25526.56,2024-07-01
PRJ1016,2024-07-01,Vendor A,6342.5,25632.5,2024-07-01
PRJ1016,2024-08-01,Vendor D,9213.02,16245.31,2024-07-01
PRJ1016,2024-09-01,Vendor A,6323.29,26665.73,2024-07-01
PRJ1016,2024-10-01,Vendor B,15546.67,22862.07,2024-07-01
PRJ1016,2024-11-01,Vendor C,24590.21,25015.01,2024-07-01
PRJ1016,2024-12-01,Vendor A,19911.69,16110.6,2024-07-01
PRJ1017,2024-01-01,Vendor A,23717.63,16797.0,2024-07-01
PRJ1017,2024-02-01,Vendor D,7742.31,24956.25,2024-07-01
PRJ1017,2024-03-01,Vendor D,16425.36,22543.42,2024-07-01
PRJ1017,2024-04-01,Vendor B,24620.38,11920.16,2024-07-01
PRJ1017,2024-05-01,Vendor B,19352.43,24777.75,2024-07-01
PRJ1017,2024-06-01,Vendor A,15058.59,22290.15,2024-07-01
PRJ1017,2024-07-01,Vendor B,8828.48,24243.06,2024-07-01
PRJ1017,2024-08-01,Vendor B,8165.18,16111.62,2024-07-01
PRJ1017,2024-09-01,Vendor D,23982.24,17601.24,2024-07-01
PRJ1017,2024-10-01,Vendor D,6335.71,26553.56,2024-07-01
PRJ1017,2024-11-01,Vendor B,16876.77,14597.71,2024-07-01
PRJ1017,2024-12-01,Vendor B,15196.88,23898.58,2024-07-01
PRJ1018,2024-01-01,Vendor A,9810.79,8409.71,2024-07-01
PRJ1018,2024-02-01,Vendor B,22862.99,26424.02,2024-07-01
PRJ1018,2024-03-01,Vendor B,15194.02,22129.72,2024-07-01
PRJ1018,2024-04-01,Vendor C,6106.93,24603.75,2024-07-01
PRJ1018,2024-05-01,Vendor C,6401.15,19491.25,2024-07-01
PRJ1018,2024-06-01,Vendor C,7337.4,21405.24,2024-07-01
PRJ1018,2024-07-01,Vendor D,16838.55,28815.82,2024-07-01
PRJ1018,2024-08-01,Vendor C,9973.32,22550.86,2024-07-01
PRJ1018,2024-09-01,Vendor B,24676.66,8727.44,2024-07-01
PRJ1018,2024-10-01,Vendor B,15247.26,13247.44,2024-07-01
PRJ1018,2024-11-01,Vendor D,19273.05,14451.32,2024-07-01
PRJ1018,2024-12-01,Vendor A,17633.58,18088.93,2024-07-01
PRJ1019,2024-01-01,Vendor B,20994.47,21637.95,2024-07-01
PRJ1019,2024-02-01,Vendor A,22714.61,23406.33,2024-07-01
PRJ1019,2024-03-01,Vendor B,17328.27,20644.26,2024-07-01
PRJ1019,2024-04-01,Vendor D,23577.51,10473.52,2024-07-01
PRJ1019,2024-05-01,Vendor B,23543.47,17500.76,2024-07-01
PRJ1019,2024-06-01,Vendor B,12556.67,26725.44,2024-07-01
PRJ1019,2024-07-01,Vendor C,17409.82,17203.97,2024-07-01
PRJ1019,2024-08-01,Vendor D,14969.0,27467.85,2024-07-01
PRJ1019,2024-09-01,Vendor B,21654.69,26063.84,2024-07-01
PRJ1019,2024-10-01,Vendor B,6548.96,17662.05,2024-07-01
PRJ1019,2024-11-01,Vendor A,5290.13,22107.0,2024-07-01
PRJ1019,2024-12-01,Vendor B,15154.6,9984.38,2024-07-01
